thinkBack: Stock quote and option quote for SPX on 7/23/16 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
UNDERLYING,,,,,,,,,,,,,,,,,,,,,,,,,
Last,Net Chng,Volume,Open,High,Low,,,,,,,,,,,,,,,,,,,,
2175.03,9.86,0,2166.47,2175.11,2163.24,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
22 JUL 16  (-1)  100 (Weeklys),,,,,,,,,,,,,,,,,,,,,,,,,
,,Impl Vol,Prob.OTM,Delta,Gamma,Theta,Vega,Volume,Open.Int,Bid,Ask,Exp,Strike,Bid,Ask,Impl Vol,Prob.OTM,Delta,Gamma,Theta,Vega,Volume,Open.Int,,
,,--,0.00%,1.00,0.00,-0.06,0.00,167,553,104.60,113.30,22 JUL 16,2065,0,0.05,34.85%,99.77%,0.00,0.00,-0.03,0.01,692,"5,237",,
,,--,0.00%,1.00,0.00,-0.06,0.00,32,330,99.60,108.60,22 JUL 16,2070,0,0.05,33.37%,99.77%,0.00,0.00,-0.03,0.01,7,"2,980",,
,,--,0.00%,1.00,0.00,-0.06,0.00,14,"7,369",94.70,103.60,22 JUL 16,2075,0,0.05,31.89%,99.76%,0.00,0.00,-0.03,0.01,29,"7,853",,
,,--,0.00%,1.00,0.00,-0.06,0.00,5,"1,914",89.60,98.30,22 JUL 16,2080,0,0.05,30.41%,99.75%,0.00,0.00,-0.03,0.01,106,"2,911",,
,,--,0.00%,1.00,0.00,-0.06,0.00,291,669,84.70,93.30,22 JUL 16,2085,0,0.05,28.93%,99.73%,0.00,0.00,-0.03,0.01,49,"1,649",,
,,--,0.00%,1.00,0.00,-0.06,0.00,"1,848","2,926",79.70,88.60,22 JUL 16,2090,0,0.05,27.44%,99.72%,0.00,0.00,-0.03,0.01,801,"4,043",,
,,--,0.00%,1.00,0.00,-0.06,0.00,6,634,74.60,83.60,22 JUL 16,2095,0,0.05,25.95%,99.71%,0.00,0.00,-0.03,0.01,56,"2,552",,
,,35.68%,3.06%,0.97,0.00,-1.41,0.08,272,"6,214",72.50,78.60,22 JUL 16,2100,0,0.05,24.46%,99.69%,0.00,0.00,-0.02,0.01,588,"17,218",,
,,33.66%,3.21%,0.97,0.00,-1.39,0.08,15,566,67.50,73.60,22 JUL 16,2105,0,0.05,22.96%,99.67%,0.00,0.00,-0.02,0.01,170,"5,532",,
,,31.63%,3.38%,0.97,0.00,-1.37,0.08,23,"4,028",62.50,68.60,22 JUL 16,2110,0,0.05,21.46%,99.65%,0.00,0.00,-0.02,0.01,89,"3,892",,
,,30.14%,3.85%,0.96,0.00,-1.45,0.09,56,"1,387",57.80,63.40,22 JUL 16,2115,0,0.05,19.95%,99.63%,0.00,0.00,-0.02,0.01,183,"4,928",,
,,--,0.00%,1.00,0.00,-0.06,0.00,23,"2,720",50.00,58.60,22 JUL 16,2120,0,0.05,18.43%,99.60%,0.00,0.00,-0.02,0.01,343,"7,107",,
,,--,0.00%,1.00,0.00,-0.06,0.00,109,"8,051",45.40,53.10,22 JUL 16,2125,0,0.05,16.91%,99.57%,0.00,0.00,-0.02,0.01,977,"15,379",,
